bp,w/f,sm,a/w,d/w,ir,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,age,height,weight,value,wage,attacking,crossing,finishing,heading accuracy,short passing,volleys,skill,dribbling,curve,fk accuracy,long passing,ball control,movement,acceleration,sprint speed,agility,reactions,balance,power,shot power,jumping,stamina,strength,long shots,mentality,aggression,interceptions,positioning,vision,penalties,composure,defending,marking,standing tackle,sliding tackle,goalkeeping,gk diving,gk handling,gk kicking,gk positioning,gk reflexes,total stats,base stats,pac,sho,pas,dri,def,phy,ova
GK,2,1,2,2,1,4,28,28,28,24,28,28,28,24,29,29,29,25,29,29,29,25,22,27,27,27,22,22,28,28,28,22,75,28,6.4,198.0,55000000,13000,50,9,7,8,15,11.0,72,8,12.0,13,18,21,206,31,33,42.0,77,23.0,241,57,69.0,23,84,8,179,41,27.0,21.0,71.0,19,66.0,29,14,7,8.0,373,71,77,76,72,77,1150,405,71,77,76,77,32,72,76
CM,4,2,2,2,2,19,70,70,70,66,69,69,69,66,70,70,70,67,74,74,74,67,69,74,74,74,69,69,74,74,74,69,17,34,6.2,179.0,27000000,26000,365,68,69,79,76,73.0,341,69,70.0,55,74,73,236,34,33,50.0,71,48.0,363,80,61.0,69,77,76,363,75,75.0,74.0,75.0,64,78.0,223,70,77,76.0,57,15,11,16,7,8,1948,395,33,73,73,67,75,74,74
CDM,2,3,2,0,1,4,59,59,59,63,63,63,63,63,65,65,65,64,67,67,67,64,68,70,70,70,68,67,68,68,68,67,17,25,6.0,165.0,11000000,9000,258,55,44,39,71,49.0,285,63,51.0,41,63,67,337,69,69,61.0,69,69.0,329,61,59.0,73,73,63,331,91,71.0,59.0,67.0,43,65.0,207,65,71,71.0,56,7,12,13,10,14,1803,391,69,52,63,65,66,76,68
LM,3,3,2,1,1,46,68,68,68,71,71,71,71,71,70,70,70,70,62,62,62,70,49,44,44,44,49,45,34,34,34,45,16,24,5.9,132.0,31000000,17000,322,63,68,62,64,65.0,289,77,43.0,38,56,75,376,78,74,83.0,66,75.0,277,68,47.0,63,37,62,251,33,20.0,71.0,68.0,59,57.0,51,20,17,14.0,47,9,12,7,12,7,1613,345,76,66,61,76,23,43,71
CB,3,2,2,2,1,10,54,54,54,57,56,56,56,57,56,56,56,59,57,57,57,59,63,62,62,62,63,63,64,64,64,63,15,21,5.1,168.0,725000,8000,246,61,38,54,65,28.0,269,63,59.0,31,51,65,314,69,70,55.0,51,69.0,314,59,76.0,71,73,35,265,74,57.0,47.0,49.0,38,58.0,196,66,66,64.0,48,11,14,5,7,11,1652,368,70,42,57,63,63,73,65
CM,3,3,2,2,1,10,65,65,65,65,66,66,66,65,67,67,67,67,71,71,71,67,69,71,71,71,69,68,68,68,68,68,17,25,6.1,161.0,36000000,10000,344,72,58,71,74,69.0,349,65,69.0,71,75,69,305,55,52,64.0,69,65.0,352,80,54.0,80,63,75,328,73,70.0,58.0,72.0,55,73.0,202,68,68,66.0,54,12,14,12,8,8,1934,396,53,66,73,66,69,69,72
CB,3,2,1,0,1,4,52,52,52,47,49,49,49,47,47,47,47,49,50,50,50,49,60,61,61,61,60,62,67,67,67,62,16,27,6.3,176.0,950000,1000,222,37,30,67,55,33.0,217,51,31.0,35,46,54,294,62,69,51.0,63,49.0,358,79,78.0,72,82,47,234,68,68.0,25.0,31.0,42,66.0,193,64,64,65.0,50,11,8,10,14,7,1568,347,66,44,43,52,65,77,68
LB,3,2,0,2,1,3,47,47,47,54,51,51,51,54,52,52,52,55,52,52,52,55,59,56,56,56,59,59,56,56,56,59,17,28,5.8,157.0,220000,1000,215,58,31,44,53,29.0,248,54,44.0,46,48,56,360,74,72,78.0,60,76.0,248,33,59.0,67,52,37,247,64,57.0,48.0,44.0,34,43.0,171,54,59,58.0,54,9,11,8,13,13,1543,331,73,34,51,58,56,59,61
LM,3,3,0,2,1,14,63,63,63,67,65,65,65,67,65,65,65,67,62,62,62,67,63,58,58,58,63,62,55,55,55,62,15,22,5.11,165.0,625000,2000,291,64,57,54,68,48.0,292,68,66.0,37,54,67,381,84,83,76.0,63,75.0,313,61,58.0,72,60,62,261,46,49.0,58.0,59.0,49,57.0,160,54,52,54.0,51,11,8,14,12,6,1749,384,83,58,62,69,52,60,64
RM,3,2,2,2,1,5,54,54,54,59,57,57,57,59,58,58,58,59,56,56,56,59,54,51,51,51,54,53,47,47,47,53,12,19,5.8,143.0,450000,2000,261,60,48,52,63,38.0,258,61,45.0,33,58,61,333,73,69,67.0,44,80.0,266,58,55.0,60,40,53,245,51,43.0,52.0,55.0,44,48.0,134,47,39,48.0,39,9,8,7,6,9,1536,334,71,51,58,62,44,48,60
LM,2,3,2,2,1,7,60,60,60,61,60,60,60,61,59,59,59,60,53,53,53,60,50,46,46,46,50,48,43,43,43,48,16,26,5.11,176.0,300000,2000,257,50,60,50,53,44.0,240,61,44.0,32,47,56,365,83,83,75.0,61,63.0,315,61,68.0,68,64,54,260,46,42.0,59.0,54.0,59,54.0,85,37,25,23.0,49,10,10,7,8,14,1571,348,83,58,50,61,34,62,61
CM,3,3,1,2,2,25,70,70,70,74,74,74,74,74,77,77,77,75,79,79,79,75,72,76,76,76,72,70,68,68,68,70,19,32,5.1,168.0,11000000,30000,338,80,65,47,85,61.0,400,68,83.0,85,80,84,329,66,40,71.0,76,76.0,366,84,59.0,74,69,80,375,74,70.0,77.0,85.0,69,73.0,205,70,70,65.0,59,16,10,14,6,13,2072,419,52,72,83,74,67,71,80
LM,3,2,0,2,1,50,52,52,52,59,57,57,57,59,60,60,60,61,60,60,60,61,61,61,61,61,61,60,57,57,57,60,15,18,5.8,141.0,600000,550,232,52,47,38,65,30.0,316,64,60.0,64,62,66,348,73,72,73.0,54,76.0,264,47,57.0,66,50,44,272,72,55.0,45.0,59.0,41,58.0,179,58,62,59.0,56,11,15,14,7,9,1667,359,72,45,60,66,57,59,62
CAM,3,3,0,2,1,9,57,57,57,64,63,63,63,64,65,65,65,65,65,65,65,65,62,60,60,60,62,60,51,51,51,60,16,22,5.7,148.0,850000,15000,274,59,52,38,70,55.0,342,67,69.0,70,68,68,356,73,69,75.0,54,85.0,294,68,52.0,77,34,63,277,40,55.0,54.0,68.0,60,67.0,162,52,56,54.0,61,14,11,16,11,9,1766,364,71,58,67,68,53,47,65
ST,3,3,2,1,1,26,65,65,65,65,66,66,66,65,65,65,65,65,60,60,60,65,52,49,49,49,52,50,44,44,44,50,16,21,5.1,163.0,975000,2000,292,54,70,55,63,50.0,277,66,55.0,35,57,64,339,71,71,70.0,60,67.0,327,68,68.0,72,60,59,244,42,26.0,70.0,66.0,40,63.0,103,30,34,39.0,51,15,6,10,12,8,1633,355,71,65,59,66,34,60,65
ST,4,3,2,1,1,4,64,64,64,64,64,64,64,64,63,63,63,62,57,57,57,62,46,45,45,45,46,44,41,41,41,44,16,27,6.0,170.0,525000,2000,284,47,67,56,59,55.0,277,66,49.0,43,53,66,355,77,69,78.0,59,72.0,319,64,66.0,56,70,63,247,43,22.0,65.0,58.0,59,56.0,79,27,29,23.0,51,7,11,10,10,13,1612,349,73,65,54,67,29,61,64
ST,4,2,2,1,1,7,63,63,63,52,57,57,57,52,53,53,53,50,52,52,52,50,41,46,46,46,41,40,48,48,48,40,17,37,6.3,205.0,130000,550,297,48,70,76,46,57.0,239,38,59.0,43,38,61,199,30,30,35.0,66,38.0,319,70,39.0,51,93,66,281,58,35.0,70.0,58.0,60,68.0,83,35,36,12.0,57,14,8,14,11,10,1475,302,30,68,48,46,37,73,63
CB,2,2,1,2,1,24,48,48,48,43,44,44,44,43,44,44,44,47,50,50,50,47,57,61,61,61,57,59,66,66,66,59,16,24,6.4,209.0,0,0,210,41,23,68,57,21.0,197,41,24.0,23,54,55,237,53,58,41.0,54,31.0,309,65,58.0,66,95,25,227,71,64.0,28.0,36.0,28,62.0,190,63,66,61.0,59,13,12,13,15,6,1429,324,56,32,46,45,64,81,66
RWB,3,2,0,1,1,8,49,49,49,56,53,53,53,56,55,55,55,58,56,56,56,58,62,59,59,59,62,61,60,60,60,61,17,22,6.0,172.0,450000,2000,232,64,22,53,58,35.0,272,64,57.0,33,58,60,331,72,65,73.0,59,62.0,276,45,63.0,63,70,35,246,55,61.0,48.0,50.0,32,64.0,181,58,60,63.0,54,13,12,7,14,8,1592,343,68,32,56,63,59,65,63
CDM,3,2,2,2,1,3,59,59,59,61,61,61,61,61,62,62,62,63,65,65,65,63,66,66,66,66,66,65,64,64,64,65,16,27,5.9,150.0,800000,3000,289,65,53,53,65,53.0,310,58,63.0,58,68,63,337,68,55,71.0,63,80.0,346,68,79.0,80,58,61,305,66,68.0,56.0,67.0,48,63.0,194,66,65,63.0,48,7,12,7,9,13,1829,377,61,58,65,62,65,66,67
CB,2,2,2,2,1,6,43,43,43,41,41,41,41,41,40,40,40,43,43,43,43,43,55,55,55,55,55,57,62,62,62,57,15,23,6.1,165.0,475000,1000,197,32,22,63,52,28.0,207,38,46.0,29,39,55,302,63,64,53.0,57,65.0,301,54,90.0,60,68,29,184,63,58.0,13.0,20.0,30,58.0,186,62,63,61.0,52,11,8,15,12,6,1429,307,64,30,38,47,62,66,62
CAM,4,2,0,1,1,5,60,60,60,64,62,62,62,64,63,63,63,63,58,58,58,63,51,48,48,48,51,49,44,44,44,49,16,23,5.7,134.0,525000,5000,289,60,55,58,64,52.0,309,67,62.0,56,60,64,370,77,80,78.0,55,80.0,295,61,72.0,56,44,62,264,58,31.0,57.0,60.0,58,49.0,94,30,34,30.0,53,9,12,7,12,13,1674,350,79,58,61,67,34,51,63
CDM,3,2,2,2,1,3,52,52,52,51,52,52,52,51,54,54,54,52,59,59,59,52,55,60,60,60,55,55,59,59,59,55,15,35,5.1,161.0,80000,1000,243,50,46,54,59,34.0,254,49,40.0,44,66,55,256,34,33,64.0,57,68.0,343,63,67.0,74,74,65,280,65,58.0,50.0,59.0,48,60.0,171,59,58,54.0,50,16,7,14,7,6,1597,327,33,53,57,54,58,72,61
LM,3,2,2,2,1,4,55,55,55,58,57,57,57,58,58,58,58,59,57,57,57,59,57,56,56,56,57,55,54,54,54,55,14,19,6.1,159.0,240000,1000,246,53,45,46,62,40.0,271,61,52.0,39,56,63,322,68,72,64.0,57,61.0,282,52,61.0,65,60,44,264,68,49.0,54.0,54.0,39,49.0,147,49,55,43.0,46,5,13,11,12,5,1578,347,70,46,56,62,50,63,58
RM,3,3,0,2,1,44,75,75,75,78,77,77,77,78,77,77,77,77,71,71,71,77,65,61,61,61,65,63,57,57,57,63,18,28,5.7,143.0,105000000,48000,375,76,75,70,77,77.0,375,79,79.0,72,67,78,418,86,73,90.0,78,91.0,372,77,87.0,76,57,75,308,67,38.0,75.0,73.0,55,75.0,145,54,39,52.0,55,16,13,12,8,6,2048,421,79,75,74,80,48,65,78
CB,2,2,2,2,1,30,58,58,58,58,59,59,59,58,61,61,61,61,65,65,65,61,69,72,72,72,69,70,75,75,75,70,18,26,6.1,165.0,75000000,42000,262,47,36,75,70,34.0,315,66,55.0,58,67,69,313,57,61,63.0,75,57.0,305,55,67.0,66,75,42,290,68,77.0,47.0,56.0,42,67.0,230,76,78,76.0,57,13,10,11,13,10,1772,377,59,42,61,67,77,71,75
LW,3,3,0,2,1,7,64,64,64,65,65,65,65,65,63,63,63,65,61,61,61,65,66,61,61,61,66,66,60,60,60,66,18,26,5.9,137.0,625000,3000,284,64,61,49,65,45.0,266,63,46.0,47,49,61,381,80,81,80.0,66,74.0,289,79,41.0,66,61,42,278,33,64.0,69.0,57.0,55,54.0,195,67,65,63.0,64,12,16,15,12,9,1757,385,81,60,59,65,64,56,65
ST,3,2,0,2,1,7,64,64,64,61,62,62,62,61,60,60,60,60,55,55,55,60,48,48,48,48,48,47,48,48,48,47,19,29,6.4,168.0,450000,5000,283,41,64,65,55,58.0,255,60,40.0,48,43,64,334,72,75,66.0,60,61.0,335,64,65.0,69,84,53,283,68,39.0,64.0,55.0,57,57.0,79,26,31,22.0,68,16,16,14,6,16,1637,356,74,61,49,62,34,76,64
LW,3,3,0,2,1,3,60,60,60,61,60,60,60,61,60,60,60,61,57,57,57,61,56,52,52,52,56,55,50,50,50,55,15,24,5.1,165.0,325000,2000,279,60,56,56,59,48.0,279,58,51.0,55,54,61,361,78,78,77.0,54,74.0,304,59,53.0,70,65,57,262,48,40.0,60.0,57.0,57,52.0,135,43,47,45.0,52,10,12,10,13,7,1672,360,78,57,57,61,45,62,61
GK,3,1,2,2,1,3,26,26,26,25,27,27,27,25,27,27,27,26,27,27,27,26,24,25,25,25,24,24,23,23,23,24,69,28,6.0,181.0,15000000,5000,78,12,13,12,24,17.0,78,15,14.0,12,23,14,222,41,38,33.0,68,42.0,188,47,56.0,32,41,12,127,24,19.0,18.0,50.0,16,42.0,43,17,11,15.0,340,70,65,62,69,74,1076,379,70,65,62,74,39,69,70
RM,3,2,2,2,1,3,60,60,60,62,61,61,61,62,60,60,60,62,57,57,57,62,55,52,52,52,55,53,47,47,47,53,17,24,6.0,172.0,450000,500,275,62,59,43,64,47.0,296,64,56.0,60,56,60,333,69,74,70.0,53,67.0,321,66,63.0,71,66,55,244,38,43.0,64.0,49.0,50,46.0,121,40,40,41.0,63,14,14,11,12,12,1653,356,72,59,59,63,41,62,63
CAM,3,3,2,2,1,3,67,67,67,69,69,69,69,69,70,70,70,69,66,66,66,69,59,57,57,57,59,56,51,51,51,56,17,29,6.0,168.0,11000000,3000,314,66,66,48,71,63.0,342,71,70.0,68,63,70,351,67,71,75.0,68,70.0,344,75,55.0,76,67,71,290,46,41.0,71.0,70.0,62,69.0,130,58,37,35.0,54,10,13,9,6,16,1825,386,69,69,68,71,45,64,69
ST,3,2,2,2,1,5,63,63,63,59,61,61,61,59,61,61,61,61,63,63,63,61,59,63,63,63,59,59,63,63,63,59,16,26,6.6,187.0,425000,6000,299,52,61,77,65,44.0,260,62,35.0,35,62,66,261,53,49,38.0,59,62.0,331,55,64.0,80,90,42,290,68,56.0,67.0,60.0,39,68.0,167,57,57,53.0,51,13,14,6,10,8,1659,364,51,54,58,61,58,82,63
CB,3,2,1,0,1,12,55,55,55,51,53,53,53,51,52,52,52,54,56,56,56,54,64,67,67,67,64,65,74,74,74,65,17,31,6.2,198.0,42000000,23000,251,48,34,77,63,29.0,228,52,39.0,28,47,62,263,46,53,50.0,70,44.0,313,55,75.0,65,89,29,271,75,73.0,54.0,38.0,31,64.0,218,76,74,68.0,56,6,12,15,10,13,1600,347,50,38,50,55,74,80,74
CM,3,2,2,2,1,7,56,56,56,59,59,59,59,59,60,60,60,60,61,61,61,60,57,58,58,58,57,56,54,54,54,56,16,19,5.11,161.0,525000,950,273,53,50,53,68,49.0,318,60,58.0,71,67,62,308,62,63,65.0,54,64.0,281,58,51.0,68,57,47,295,71,49.0,56.0,63.0,56,61.0,147,40,56,51.0,55,15,10,9,12,9,1677,351,63,52,64,61,49,62,61
LW,4,4,0,2,1,4,60,60,60,66,65,65,65,66,66,66,66,65,60,60,60,65,51,47,47,47,51,47,40,40,40,47,17,33,5.9,163.0,400000,5000,291,67,58,44,64,58.0,336,72,71.0,64,57,72,351,64,65,81.0,60,81.0,286,61,65.0,49,44,67,252,37,26.0,62.0,66.0,61,64.0,94,27,34,33.0,60,15,15,15,9,6,1670,339,65,61,64,73,31,45,66
RM,4,3,0,0,1,5,60,60,60,60,60,60,60,60,59,59,59,60,54,54,54,60,48,46,46,46,48,45,43,43,43,45,16,29,5.11,176.0,250000,600,289,58,56,59,57,59.0,284,60,60.0,50,54,60,334,75,72,72.0,55,60.0,331,61,70.0,69,74,57,277,69,30.0,58.0,57.0,63,58.0,68,40,12,16.0,59,16,10,13,13,7,1642,350,73,58,57,61,29,72,61
CM,3,2,2,2,1,4,46,46,46,51,50,50,50,51,53,53,53,52,54,54,54,52,54,54,54,54,54,54,51,51,51,54,17,19,5.7,141.0,140000,2000,214,41,35,45,64,29.0,237,49,40.0,37,57,54,326,70,66,59.0,49,82.0,248,47,57.0,54,41,49,243,56,52.0,36.0,53.0,46,55.0,156,44,57,55.0,63,10,15,13,15,10,1487,315,68,41,54,53,51,48,54
LWB,3,3,2,2,1,322,66,66,66,71,69,69,69,71,69,69,69,72,69,69,69,72,74,70,70,70,74,73,69,69,69,73,15,26,5.11,154.0,43000000,60000,310,76,50,60,72,52.0,333,76,68.0,47,68,74,388,90,89,80.0,62,67.0,330,72,57.0,78,63,60,316,78,68.0,68.0,60.0,42,70.0,214,68,74,72.0,43,7,11,7,9,9,1934,427,89,57,68,75,69,69,73
ST,3,2,0,1,1,5,60,60,60,57,59,59,59,57,56,56,56,55,47,47,47,55,41,37,37,37,41,39,36,36,36,39,13,21,5.9,174.0,450000,8000,226,25,64,47,54,36.0,221,62,48.0,26,24,61,327,71,74,67.0,50,65.0,308,59,68.0,63,66,52,212,33,11.0,64.0,42.0,62,63.0,69,31,17,21.0,47,12,6,12,9,8,1410,316,73,59,40,62,23,59,61
CB,2,2,2,2,1,6,56,56,56,52,54,54,54,52,55,55,55,54,61,61,61,54,62,68,68,68,62,63,72,72,72,63,19,31,6.4,196.0,23000000,6000,264,41,42,70,61,50.0,282,55,47.0,46,73,61,258,38,52,54.0,69,45.0,342,68,82.0,62,83,47,289,73,72.0,44.0,51.0,49,71.0,215,73,72,70.0,63,13,15,14,10,11,1713,355,46,49,55,57,72,76,72
RB,3,2,2,2,1,4,55,55,55,59,57,57,57,59,59,59,59,61,61,61,61,61,65,64,64,64,65,65,64,64,64,65,17,21,5.1,152.0,800000,4000,260,66,38,63,67,26.0,270,60,50.0,28,68,64,336,71,73,66.0,59,67.0,314,58,73.0,66,62,55,263,70,59.0,45.0,55.0,34,58.0,195,61,68,66.0,58,14,12,12,13,7,1696,369,72,45,62,62,63,65,66
RB,3,3,2,2,1,4,52,52,52,56,54,54,54,56,55,55,55,57,55,55,55,57,60,58,58,58,60,60,59,59,59,60,14,23,6.0,157.0,350000,2000,242,60,31,55,55,41.0,286,59,55.0,58,56,58,338,71,72,64.0,57,74.0,283,53,64.0,60,61,45,263,56,58.0,55.0,52.0,42,57.0,178,59,60,59.0,46,8,6,12,13,7,1636,347,72,40,56,60,59,60,62
RM,3,3,2,0,1,17,54,54,54,57,56,56,56,57,57,57,57,58,56,56,56,58,55,54,54,54,55,54,51,51,51,54,15,19,5.1,146.0,190000,1000,264,54,49,47,60,54.0,276,58,53.0,51,58,56,328,68,66,72.0,53,69.0,278,53,55.0,64,54,52,258,53,47.0,51.0,57.0,50,54.0,149,48,52,49.0,51,11,8,7,11,14,1604,339,67,51,57,59,49,56,56
ST,3,2,2,1,1,3,50,50,50,49,50,50,50,49,47,47,47,47,40,40,40,47,35,32,32,32,35,34,30,30,30,34,14,17,5.1,152.0,60000,500,204,30,54,43,37,40.0,196,48,37.0,31,28,52,308,68,59,61.0,56,64.0,236,47,60.0,46,42,41,192,32,17.0,47.0,42.0,54,45.0,52,18,14,20.0,41,8,5,7,9,12,1229,260,63,49,35,52,19,42,50
LB,3,2,2,2,1,12,59,59,59,62,61,61,61,62,62,62,62,64,62,62,62,64,65,62,62,62,65,65,61,61,61,65,18,23,6.0,172.0,1000000,2000,277,64,41,57,64,51.0,284,67,52.0,40,58,67,343,73,80,66.0,61,63.0,315,64,48.0,77,68,58,284,56,57.0,54.0,57.0,60,59.0,185,58,64,63.0,61,12,11,9,14,15,1749,381,77,51,60,66,60,67,67
LB,2,3,0,2,1,13,58,58,58,62,60,60,60,62,60,60,60,64,60,60,60,64,67,63,63,63,67,67,64,64,64,67,16,26,5.11,170.0,11000000,18000,271,64,47,53,62,45.0,266,68,33.0,45,55,65,358,83,77,63.0,64,71.0,318,55,74.0,76,64,49,273,59,64.0,49.0,50.0,51,55.0,195,65,68,62.0,54,6,9,14,13,12,1735,384,80,49,57,67,64,67,69
RM,3,3,2,2,1,3,60,60,60,64,62,62,62,64,64,64,64,65,63,63,63,65,61,60,60,60,61,60,56,56,56,60,14,29,5.8,146.0,625000,500,281,66,52,49,65,49.0,318,60,72.0,64,62,60,370,74,72,76.0,70,78.0,328,60,63.0,74,72,59,301,59,49.0,59.0,72.0,62,52.0,153,49,53,51.0,41,7,8,12,8,6,1792,377,73,56,66,63,50,69,66
CDM,3,2,1,2,1,9,58,58,58,61,61,61,61,61,65,65,65,63,69,69,69,63,67,70,70,70,67,67,68,68,68,67,15,28,6.1,170.0,1000000,15000,305,60,45,64,77,59.0,312,61,61.0,40,75,75,305,62,53,61.0,62,67.0,324,62,67.0,67,65,63,286,64,64.0,43.0,71.0,44,66.0,212,65,75,72.0,45,7,8,10,11,9,1789,378,57,53,69,66,68,65,69
LB,2,2,0,2,1,5,51,51,51,57,53,53,53,57,54,54,54,58,55,55,55,58,62,58,58,58,62,62,58,58,58,62,16,26,5.9,159.0,500000,500,253,68,43,51,61,30.0,249,50,52.0,32,49,66,344,74,67,71.0,55,77.0,263,32,74.0,69,58,30,239,47,62.0,53.0,43.0,34,57.0,175,59,59,57.0,55,14,6,12,13,10,1578,340,70,38,55,59,59,59,64
RB,3,3,0,2,2,68,77,77,77,77,78,78,78,77,78,78,78,78,79,79,79,78,79,79,79,79,79,78,76,76,76,78,19,31,5.11,163.0,105000000,38000,374,79,75,69,80,71.0,401,76,80.0,84,81,80,375,74,76,74.0,80,71.0,390,85,67.0,86,73,79,369,74,78.0,75.0,78.0,64,75.0,234,79,78,77.0,56,11,9,10,13,13,2199,462,75,77,80,77,77,76,80
GK,2,1,2,2,1,3,27,27,27,22,24,24,24,22,21,21,21,22,22,22,22,22,24,24,24,24,24,24,27,27,27,24,73,34,6.4,194.0,25000000,500,67,13,12,12,19,11.0,72,13,12.0,13,15,19,204,28,35,22.0,75,44.0,205,53,52.0,21,66,13,77,16,12.0,12.0,19.0,18,26.0,61,16,23,22.0,361,72,72,70,75,72,1047,393,72,72,70,72,32,75,74
ST,3,2,0,1,1,4,64,64,64,62,63,63,63,62,60,60,60,60,51,51,51,60,42,38,38,38,42,39,35,35,35,39,14,25,5.1,159.0,600000,9000,289,41,68,64,57,59.0,241,65,42.0,37,34,63,346,77,73,75.0,52,69.0,352,64,93.0,69,67,59,236,36,16.0,64.0,52.0,68,48.0,38,16,11,11.0,51,7,8,13,14,9,1553,335,75,65,48,65,19,63,64
CB,2,2,1,0,1,3,40,40,40,36,37,37,37,36,37,37,37,39,41,41,41,39,53,54,54,54,53,56,61,61,61,56,16,20,5.11,174.0,350000,2000,201,30,24,65,49,33.0,158,26,32.0,29,36,35,273,54,59,50.0,50,60.0,254,40,70.0,60,63,21,231,55,68.0,31.0,32.0,45,48.0,190,65,65,60.0,60,8,13,14,11,14,1367,283,57,28,38,34,65,61,61
LB,2,2,0,2,1,81,63,63,63,67,65,65,65,67,64,64,64,67,63,63,63,67,73,68,68,68,73,74,71,71,71,74,16,24,5.9,141.0,9000000,20000,293,76,45,65,70,37.0,273,70,54.0,35,45,69,374,78,78,75.0,74,69.0,300,64,58.0,68,61,49,309,69,74.0,67.0,51.0,48,61.0,226,74,77,75.0,46,8,11,9,6,12,1821,397,78,50,61,70,74,64,76
GK,2,1,2,2,1,11,25,25,25,24,25,25,25,24,26,26,26,26,27,27,27,26,23,25,25,25,23,22,22,22,22,22,62,20,6.2,168.0,500000,850,78,14,11,13,30,10.0,102,14,12.0,14,31,31,181,36,40,28.0,46,31.0,200,47,58.0,31,52,12,92,25,12.0,7.0,37.0,11,35.0,37,12,13,12.0,317,64,62,63,63,65,1007,355,64,62,63,65,38,63,63
LM,3,3,2,0,1,3,60,60,60,65,62,62,62,65,64,64,64,66,62,62,62,66,65,62,62,62,65,64,60,60,60,64,14,24,5.11,161.0,750000,500,279,64,58,55,65,37.0,273,62,39.0,52,62,58,406,87,87,82.0,64,86.0,303,42,68.0,81,63,49,305,78,56.0,62.0,65.0,44,62.0,171,57,56,58.0,43,7,8,10,9,9,1780,391,87,51,62,64,56,71,66
LB,2,2,2,2,1,7,45,45,45,49,47,47,47,49,47,47,47,52,48,48,48,52,56,53,53,53,56,56,55,55,55,56,16,18,6.1,176.0,240000,750,210,60,25,48,51,26.0,220,59,40.0,32,49,40,307,67,65,59.0,51,65.0,254,38,64.0,63,66,23,243,54,55.0,53.0,39.0,42,42.0,168,55,57,56.0,59,12,12,15,15,5,1461,316,66,30,49,53,55,63,58
ST,3,2,0,2,1,7,62,62,62,63,62,62,62,63,61,61,61,62,54,54,54,62,48,43,43,43,48,46,40,40,40,46,17,24,5.1,168.0,475000,2000,287,56,62,58,57,54.0,246,61,50.0,36,43,56,386,80,82,86.0,64,74.0,308,59,62.0,64,60,63,235,38,21.0,62.0,60.0,54,55.0,80,32,24,24.0,60,9,14,15,7,15,1602,345,81,61,54,63,29,57,63
CM,3,3,0,2,1,39,66,66,66,70,69,69,69,70,71,71,71,71,72,72,72,71,69,69,69,69,69,67,63,63,63,67,16,22,5.1,168.0,47000000,8000,313,69,66,47,74,57.0,359,68,73.0,73,72,73,359,66,67,75.0,70,81.0,362,73,73.0,90,59,67,339,74,60.0,68.0,73.0,64,69.0,185,59,66,60.0,51,5,8,14,10,14,1968,407,67,67,72,71,60,70,72
GK,3,1,2,2,2,31,29,29,29,26,28,28,28,26,28,28,28,26,27,27,27,26,24,26,26,26,24,24,27,27,27,24,69,34,6.3,190.0,775000,37000,89,14,19,18,25,13.0,88,17,18.0,16,17,20,216,33,37,38.0,66,42.0,242,52,72.0,28,70,20,117,23,19.0,11.0,44.0,20,38.0,45,10,15,20.0,347,69,70,69,71,68,1144,382,69,70,69,68,35,71,70
CAM,3,3,2,2,1,4,60,60,60,62,62,62,62,62,62,62,62,61,56,56,56,61,46,44,44,44,46,43,38,38,38,43,15,26,6.0,163.0,375000,3000,286,60,63,48,60,55.0,292,62,56.0,52,57,65,309,66,71,64.0,55,53.0,302,68,61.0,52,51,70,252,49,26.0,56.0,60.0,61,53.0,71,35,20,16.0,50,10,13,8,12,7,1562,334,69,65,59,62,28,51,62
LM,3,3,2,2,2,28,72,72,72,75,74,74,74,75,74,74,74,75,70,70,70,75,64,60,60,60,64,61,53,53,53,61,17,29,5.8,154.0,75000000,58000,343,72,71,56,72,72.0,353,77,74.0,61,68,73,414,82,84,84.0,74,90.0,362,76,66.0,90,60,70,318,70,44.0,73.0,70.0,61,66.0,126,42,40,44.0,53,15,7,15,10,6,1969,415,83,71,71,77,43,70,76
CM,3,3,0,2,1,10,64,64,64,68,67,67,67,68,70,70,70,69,71,71,71,69,67,68,68,68,67,65,63,63,63,65,17,30,5.11,170.0,22000000,12000,325,71,57,62,77,58.0,354,68,70.0,72,72,72,341,70,61,72.0,74,64.0,356,67,67.0,76,74,72,332,68,63.0,49.0,77.0,75,66.0,169,56,57,56.0,51,14,6,9,11,11,1928,403,65,63,74,70,58,73,71
GK,3,1,2,2,1,3,28,28,28,25,26,26,26,25,25,25,25,25,23,23,23,25,25,25,25,25,25,25,26,26,26,25,62,28,6.1,185.0,300000,1000,76,11,20,11,22,12.0,90,11,14.0,13,29,23,275,55,49,64.0,55,52.0,217,47,58.0,26,68,18,90,17,21.0,13.0,16.0,23,35.0,51,17,17,17.0,313,61,61,62,62,67,1112,365,61,61,62,67,52,62,63
CB,3,2,2,2,1,3,68,68,68,66,66,66,66,66,65,65,65,67,68,68,68,67,74,74,74,74,74,75,78,78,78,75,18,31,5.11,183.0,85000000,20000,341,68,60,76,71,66.0,313,57,68.0,54,65,69,348,75,75,66.0,72,60.0,361,68,76.0,77,82,58,333,81,80.0,63.0,60.0,49,69.0,235,77,80,78.0,56,12,16,10,12,6,1987,423,75,61,66,62,79,80,79
